,0
27,@piyushjadhav4 We sincerely apologize for the inconvenience you have experienced. Rest assured that we have initiat… https://t.co/xFuXqgQ183
28,"@Zoomcar_India @Zoomcar_India , now my trip is started automatically without my permission, it's showing in app - ""… https://t.co/Od3pNF5goh"
29,@Zoomcar_India Please find the id: JPSNCP1BT
30,"@piyushjadhav4 Hello Piyush, We are sorry for the inconvenience caused. Request you to please share with us the cor… https://t.co/QAZ5HDYlFe"
31,@sahidvaidya We request you to kindly select the vehicle from our application. We would appreciate your understanding in this matter.
32,"@sahidvaidya Hello Sahid, we sincerely apologize for not being able to provide you with the desired vehicle. Hence,… https://t.co/MlehJPWZ3a"
33,"@Zoomcar_India Team , are you guys still there?"
34,@piyushjadhav4 We apologize for the inconvenience this has caused. Please give us some time to check and get back t… https://t.co/1si7T8zLgU
35,"@Zoomcar_India Unable to cancel, I am clicking on the option but the page is not moving ahead. https://t.co/80MZ1hEDWO"
36,Just had the worst experience with @Zoomcar_India! Waited for 1.5 hours and still no sign of service. Pathetic cust… https://t.co/F4pLZytuGy
37,"@chandanspal We regret the inconvenience caused to you. In order to assist you further, we would require your booki… https://t.co/4yLZ1j049j"
38,"@Dhruvil26446032 We regret the inconvenience caused to you. In order to assist you further, we would require your b… https://t.co/nNrBX1pCok"
39,"@htgdokania Therefore, we've given you the option in the Zoomcar app to look for an alternate vehicle for your rese… https://t.co/48gWL06PHx"
40,"@htgdokania Hi Harsh, we sincerely apologize for not being able to provide you with the desired vehicle, however, d… https://t.co/MERWqdCPSo"
41,"@Zoomcar_India 
I booked a car in Delhi from 29 10am till 30 3pm. When I reached the location the car wasn't there… https://t.co/kh0EHqaJSf"
42,@Zoomcar_India this is the second time I modified the booking but host is not able to provide the car since it’s in… https://t.co/PGsHkYmJN6
43,@Zoomcar_India If i am cancelling the booking right now will I get a 100% refund?
44,"@GohelKedar For any concerns, please raise a ticket through our chatbot on the Zoomcar application. Our email team… https://t.co/eDYeZduDfo"
45,"@GohelKedar we apologize for any inconvenience caused, we would like to bring to your notice that we do not have a… https://t.co/ZCcjR177qn"
46,"@AdityaV84472576 In case, if you are facing any issues, we request you to kindly share with us the screenshot of th… https://t.co/IRCQcORfl7"
47,"@AdityaV84472576 Hi Aditya, we understand your dismay, however, we would like to inform you that you can cancel you… https://t.co/cNwbQ3nhrw"
48,@Zoomcar_India I need a full refund of my money and I don't want to indulge in this anymore. My Planning and timing… https://t.co/6UQRQFVmkl
49,"@Zoomcar_India can I have a number of zoom car host care?
@Zoomcar_India @zoomcar_id @ZoomcarBLR @ZoomcarPUN… https://t.co/m14LkuwGP1"
50,@Zoomcar_India I have got a message to choose another car as an alternative but i don't want that. I need a full re… https://t.co/nLMylk7p5z
51,@AdityaV84472576 We request you to kindly select the vehicle from our application. We would appreciate your understanding in this matter.
52,@AdityaV84472576 so we will share strong feedback with our companion and take necessary measures to secure that suc… https://t.co/CYIU6b4qKs
53,"@AdityaV84472576 Hi Aditya, we sincerely apologize for not being able to provide you with the desired vehicle. We a… https://t.co/QAUOY5dQoq"
54,@Zoomcar_India Now when i have checked on zoomcar app there he has texted me it's tolichowki from where I am suppos… https://t.co/F6nUTYrXLJ
55,"@AdityaV84472576 Hi Aditya, please share with us the screenshot of the chat messages that were exchanged between yo… https://t.co/0XowQmY0DH"
56,"@MahnotRohan Hello Rohan, We are sorry for the inconvenience caused, As we check our team has already got in touch… https://t.co/gITDVQJk7O"
57,@morang @Zoomcar_India @ZoomcarHYD Need assistance on priority. Kindly somebody look into it as I deserve better tr… https://t.co/Zdu1zM0bsz
58,"@ManojMe10804528 Hello Manoj, we deeply regret the inconvenience caused to you. We are here to help you with your c… https://t.co/Bdz4PO15rx"
59,"@AdityaV84472576 Hello Aditya, we deeply regret the inconvenience caused to you. We are here to help you with your… https://t.co/KfQtfCE5qY"
60,"@AdityaV84472576 Hello Aditya, we deeply regret the inconvenience caused to you. We are here to help you with your… https://t.co/6AJjFd9u4m"
61,"@sahidvaidya Hello Sahid, we deeply regret the inconvenience caused to you. We are here to help you with your conce… https://t.co/tBMr2BnWkP"
62,"@Zoomcar_India 

I had booked a car through you. Now the host has cancelled on me. I went through your app. There i… https://t.co/NysA22JGz5"
63,@morang @Zoomcar_India @ZoomcarHYD I thought of reaching out to the support team to get assistance however the numb… https://t.co/VONzQoqaIj
64,"@Zoomcar_India Thanks for replying, hope this issue is resolved ASAP"
65,"@htgdokania Hello Harsh, we deeply regret the inconvenience caused to you. We are here to help you with your concer… https://t.co/XWnQxD2vTW"
66,"@RohanChaukrat @Zoomcar_India @Zoomcar_India Pls help with the request.
We expected better from India’s ‘finest’ car rental service."
67,@morang @Zoomcar_India @ZoomcarHYD JPSNCPDN1 this is my booking id and I have booked a car for my weekend trip but… https://t.co/pCLhE8A2Wv
68,@Zoomcar_India - pathetic customer service - I have been trying to reach out for the past hour. Booking ref id JPSN… https://t.co/9NzWvvZ38m
69,"@Zoomcar_India  i booked a car for today, reached location and the host says car is not available. The payment is d… https://t.co/oMbmxiPHd7"
70,@Zoomcar_India When??
71,@MahnotRohan Please accept our deepest apologies for the trouble caused. It is disappointing to receive such an esc… https://t.co/PveHLLKi5n
72,@Zoomcar_India Can you please reach out over call? Have been trying to explainyou the reason multiple times with no solution
73,"@Zoomcar_India The chatbot doesn't have, i repeat doesn't have the option for change of registered mobile number… https://t.co/ljaJV1eZwa"
74,"@Subhode99702475 Therefore, we request you to kindly elaborate on your concern in detail with your booking ID. We s… https://t.co/Dklk7UZ06C"
75,"@Subhode99702475 Our email team shall respond to your concern. However, in case your face any issues during your li… https://t.co/2QhyZTPfq9"
76,"@Subhode99702475 Hello Subhodeep, we apologize for any inconvenience caused, we would like to bring to your notice… https://t.co/LrvWubEqz4"
77,"@Suraj43976240 Hello Suraj, We are sorry for the delay here. As we check the trip has been stated."
78,"@Zoomcar_India Dear Customer, Once you reach the pickup location, please complete the Pickup process in the Zoomcar… https://t.co/xR0wyKgdjA"
79,"@Jeevanvarmap Hello Jeevan, we deeply regret the inconvenience caused to you. We are here to help you with your con… https://t.co/pzYSWhibwL"
80,"@vaikon We regret the inconvenience caused to you. In order to assist you further, we would require your booking ID… https://t.co/npBNf36hkX"
81,"@MahiMah59580823 Hello Mahi, we apologize for the inconvenience caused, kindly allow us some time as we are checkin… https://t.co/SpPWZRZi52"
82,"@AshishAnilAtrey We regret the inconvenience caused to you. In order to assist you further, we would require your b… https://t.co/BrGisyfmEL"
83,@RohanChaukrat @Zoomcar_India @Zoomcar_India have been trying to reach you guys sonce the past 4 hours. Please reac… https://t.co/Gr2akdls6n
84,@Zoomcar_India  booked a car through your app and later found out that car is not operational from last 3 months .… https://t.co/bCAMBemElm
85,"@RonakHarsora We regret the inconvenience caused to you. In order to assist you further, we would require your book… https://t.co/dtAyXZP1tU"
86,"@AadiTakle Hello Aadi, we deeply regret the inconvenience caused to you. We are here to help you with your concern.… https://t.co/ErC3vJPqOl"
87,"@AadiTakle Hello Aadi, we deeply regret the inconvenience caused to you. We are here to help you with your concern.… https://t.co/12Q8K8qO3H"
88,"@AadiTakle Hello Aadi, we deeply regret the inconvenience caused to you. We are here to help you with your concern.… https://t.co/FnRAHr4LL2"
89,"@AadiTakle Hello Aadi, we deeply regret the inconvenience caused to you. We are here to help you with your concern.… https://t.co/JvqjfF1SYq"
90,@Suraj43976240 We apologize for the inconvenience this has caused. Please give us some time to check and get back t… https://t.co/xFqb17eeFc
91,"@nimesh_h_patel Therefore, we request you to kindly elaborate on your concern in detail with your booking ID. We sh… https://t.co/bJ1VlcxZBG"
92,"@nimesh_h_patel Our email team shall respond to your concern. However, in case your face any issues during your liv… https://t.co/p60H2HzfSQ"
93,"@nimesh_h_patel we apologize for any inconvenience caused, we would like to bring to your notice that we do not hav… https://t.co/elgnxFewMA"
94,"@MayurGour6 Please click on the link and update your bank details. Once you submit, the amount shall be instantly t… https://t.co/pmG3gC7msV"
95,"@MayurGour6 Hello Mayur, We are sorry for the inconvenience caused. We have initiated the refund through the Cashfr… https://t.co/nu8kvWnRby"
96,@MayurGour6 We apologize for the inconvenience this has caused. Please give us some time to check and get back to you as soon as possible.
97,@Zoomcar_India is doing fraud. @MIB_India @FinMinIndia @GoI_MeitY @PiyushGoyal @nitin_gadkari Let me know how to file a complaint
98,"@Zoomcar_India There is no one who contact me even after ur bot reply on twitter, its been 15 days when I dnt know… https://t.co/wkJUmzARft"
99,@RohanChaukrat @Zoomcar_India Id- JPSNCPKPG - we want to extend our booking duration…we are having to stay out of s… https://t.co/15KR37AjXo
100,No response yet @Zoomcar_India @jagograhakjago
101,@sanjay5154 We apologize for the inconvenience this has caused. Please give us some time to check and get back to you as soon as possible.
102,"@Zoomcar_India
Additionally people are booking car and stealing car accessories like Stephanie &amp; tyres.

If you mis… https://t.co/BUgZ4feXrb"
103,@Zoomcar_India Booking id JPSNCIO7
104,"@RohanChaukrat Therefore, we request you to kindly elaborate on your concern in detail with your booking ID. We sha… https://t.co/aICUOwg8pv"
105,"@RohanChaukrat Our email team shall respond to your concern. However, in case your face any issues during your live… https://t.co/uByp4pBoyJ"
106,"@RohanChaukrat we apologize for any inconvenience caused, we would like to bring to your notice that we do not have… https://t.co/CKUk42gNlQ"
107,@Zoomcar_India How did you consider this image? I can't be with my Car 24/7 to update checklist. We do have our own… https://t.co/cZbunjjunS
108,"@Zoomcar_India Please find the booking I'd - JPSNCP028

Also please tell us the procedure of refund as we are in th… https://t.co/7zAnIBMmEe"
109,@Zoomcar_India can you please tell your actual customer service contact number....the options given when calling th… https://t.co/98YQlZZC6g
110,"@Rahul000052 We regret the inconvenience caused to you. In order to assist you further, we would require your booki… https://t.co/D8ve9EuGjX"
111,"@Oishee26 We regret the inconvenience caused to you. In order to assist you further, we would require your booking… https://t.co/HpVfvLAgSg"
112,"@aryan_sinha21 We regret the inconvenience caused to you. In order to assist you further, we would require your boo… https://t.co/pLeMo85EtM"
113,"@mayu198_ We regret the inconvenience caused to you. In order to assist you further, we would require your booking… https://t.co/K6fGnLgBD4"
114,"@Zoomcar_India worst service i have seen in entire life.

I booked one car yesterday, paid the whole amount, got th… https://t.co/dqVk6KQNAw"
115,@Zoomcar_India such a pathetic support you guys have. It’s been almost a week and I still haven’t received any resp… https://t.co/cqzudn5X41
116,"@the_truth_seen We regret the inconvenience caused to you. In order to assist you further, we would require your ti… https://t.co/g6Iaq3M3fM"
117,@Zoomcar_India @Zoomcar_India I still haven’t received any resolution yet. It’s now been more than a month. Your ap… https://t.co/L0xdybClXO
118,4) @airvistara i strongly suggest you to re evaluate your partnership . Folks are going to zoomcar seeing emails by… https://t.co/SZ0GPvBShB
119,"3) @Zoomcar_India it's been 12 hrs since my pickup time, but no one is helping.What am i supposed to do? What about… https://t.co/RJjV78PPKt"
120,"@Zoomcar_India Been waiting to verify profile since a week.
Zero replies. No customer care number. Simply wow!

No… https://t.co/lMLeLj05mB"
121,"What is happening @Zoomcar_India 
Looks like there's no care to service anymore.

Is it being run from a garage now… https://t.co/ThoS2Yd6a3"
122,@Zoomcar_India The mechanic had to push the car a fair distance to start it. I am not doing that. Also it seems the… https://t.co/LV1zlX1Ckw
123,@BiswajitBiswar9 We apologize for the inconvenience this has caused. Please give us some time to check and get back… https://t.co/e7lPiO3A3B
124,@Zoomcar_India How would I know when going to office for a meeting the zoom car was an easy fix or not ? Noel said… https://t.co/PvscN5mKCC
125,@Zoomcar_India I have raised a ticket for the breakdown and have heard from your team that there is no refund. I sp… https://t.co/s85D7QlY4z
126,@PragunSaraf Please accept our deepest apologies for the trouble caused. It is disappointing to receive such an esc… https://t.co/tBA0BfYELS
127,No response @Zoomcar_India Day2
128,@Akashfofaria We sincerely apologize for the inconvenience you have experienced. Rest assured that we have initiate… https://t.co/93ArAScrCL
129,@Akashfofaria We apologize for the inconvenience this has caused. Please give us some time to check and get back to you as soon as possible.
130,"@Rohit5344218571 We regret the inconvenience caused to you. In order to assist you further, we would require your t… https://t.co/VBtCPIVJGY"
131,"@AggarwalJanu We regret the inconvenience caused to you. In order to assist you further, we would require your book… https://t.co/3eEhlrfTme"
132,"@RahulGarg9899 @Zoomcar_India Don't these Thieves, they are simply making money here I have faced similar issues ks… https://t.co/Zup0fIV4v1"
133,"@Zoomcar_India Chor hain
@Zoomcar_India chor hain 
@aajtak @ABPNews Pl ban zoom car from India
Ye host ke sath chea… https://t.co/l8crdPe9Ph"
134,"@Zoomcar_India 
Yesterday my amount was showing 3350 along with ext amount now 2868 for booking. I'd - JPSNCPMGM, s… https://t.co/ZyUTjC2QAq"
135,@Zoomcar_India I will leave spot in 5 mins. If not received any call or support make sure you refund 2x amount for ruining the day
136,What the fuck is going on @Zoomcar_India I am on road for an hour now and entire zoom car team gives a shit to thei… https://t.co/RW7UnpSQXn
137,"@Zoomcar_India 
Hi I had made the booking but the car was not available there and tried reaching you guys and even… https://t.co/N1L9OkcGOC"
138,My zoomcar accident happened and am stucked in remote area of tamilnadu provide me assistance with new car or refun… https://t.co/5AI1ncrCEI
139,@Zoomcar_India This is ridiculous. If you do not have team to support why the hell you take advance full payment?… https://t.co/f9BGIBQH8I
140,@Zoomcar_India what is happening I have been continuously complaining on various platforms regarding my XUV300 7756… https://t.co/pJkMeB08td
141,@Zoomcar_India it's been 50 mins I am standing here on the road and no one to support.I paid 8000 for this? Call me… https://t.co/YTRibpOQeT
142,"@Zoomcar_India I am a host in zoomcar,car number OD07P0810..booking id is JPSNCP8LZ
Car is picked up by customer fr… https://t.co/35rABzrFs6"
143,"@Zoomcar_India @consumerforum_  #nobrand 

Booking I'd - JPS6X5P4C

Hi zoomcar when you going to refund my money it… https://t.co/XAx9kki7eK"
144,@Zoomcar_India waiting for over an hour to start my trip. Mu entire family is left standing on the road because of… https://t.co/lfwa8nBXn0
145,@jaagograhakjago This fraud they are doing in day light. I need solution in next ten minutes @Zoomcar_India… https://t.co/oMGoKQHHBP
146,@Zoomcar_India @Zoomcar_India  you guys are pathetic.  I am sueing you. Sent you a legal notice.  #suezoomcar… https://t.co/YKNhFsip4q
147,@Zoomcar_India I booked car and now no one is helping to find car. This is 3rd time happening. Call me. My booking id is jpsncpaoz
148,"@Zoomcar_India @ZoomcarMUM 
If owner has booking of Sunday y he is denying for Saturday. If someone books car from… https://t.co/jANWwHEDmF"
149,@ZoomcarMUM @Zoomcar_India booked car for short trip. when reached location owner is denied and told I have booking… https://t.co/KakQW9Jjt4
150,@Zoomcar_India @ZoomcarPUN not able to unlock my vehicle. Please help!
151,"@Zoomcar_India 
I am unable to fill the checklist because My app is not working"
152,"No keys in car. Stranded, No cabs available here, with partner, no alternate car provided, no assistance from suppo… https://t.co/k17atp0P1K"
153,@Zoomcar_India My car is stolen by your guest
154,@Zoomcar_India Your guest unlock my car amd stolen my car today at 2:09AM. I am going to FIR against him and your company.
155,"@Zoomcar_India 
Kindly tell me who is responsible for this chaos??? And what about the stay bookings which we have… https://t.co/j0BgyQxUSY"
156,"@Zoomcar_India 
We contacted customer care as the alternate car was still not updated in the application. The respo… https://t.co/s2ymW3E6DV"
157,"@Zoomcar_India 
After communicating the same to zoomcar customer care, they arranged for an alternative car for us… https://t.co/pQLSOFLIf0"
158,@Zoomcar_India this has been one of the worst experiences of booking a rental car. The car host tells us on call th… https://t.co/Kchk0kND0v
159,@Zoomcar_India I am never going to take zoom car service ever again in my life totally disappointed its been two we… https://t.co/w8eXve1SkY
160,"@MuditKhandelw11 @Zoomcar_India Next time, book with @buktrips They offer #ReselableBukings
You can resell your boo… https://t.co/7sg4l2HA2d"
161,@Zoomcar_India this is pathetic. I booked a car yesterday for my weekend trip and host informed us that car is not… https://t.co/fSZWfkROIt
162,@Zoomcar_India do you just respond to tweets and take no action? I had tweeted about my refunds and nothing happene… https://t.co/BPXbQ01F8r
163,2) @airvistara why have you partnered with such a company?. Seeing your email about partnership i switched to… https://t.co/QpcEUIqsnA
164,1) @Zoomcar_India I made booking (id - JPSNC1KI9) for 9days. Am at location but car is not here.Customer care is sa… https://t.co/1hsoqVal17
165,@Zoomcar_India @airvistara why have you partnered with such company?
166,@Zoomcar_India 1) @Zoomcar_India I made booking (id - JPSNC1KI9) for 9days. Am at location but car is not here.Cust… https://t.co/ZaHckYYo8w
167,"@prianshuym Hello Prianshu, please accept our sincere apologies for the delay in responding and the inconvenience c… https://t.co/bLVFi0MDwK"
168,"@iamygupta15 Concerning the excess refuelling fee, we request you to kindly share with us the end odometer images a… https://t.co/qRn7s5MRnG"
169,"@iamygupta15 Hello Yuvraj, we deeply regret the inconvenience caused to you. We are here to help you with your conc… https://t.co/PokDUFqbQz"
170,@Zoomcar_India @pratikrajmishra @Zoomcar_India  Within 24 hours now you accept that the car was not at the location… https://t.co/jLAx9Qkr99
171,"@Jeevanvarmap We nearly shitted our pants when he closed his house gate by locking us inside.. we didn't expect this at all..
@Zoomcar_India"
172,@Zoomcar_India Zoomcar is fraud no action taken yet on my complaint.
173,"@Zoomcar_India 

Hello zolmcar, 

Its pathetic that you do not have customer care number / email

I have been tryin… https://t.co/u4m4tJOl83"
174,"@rhtgpt11 However, the other booking ID JPSNCP0ZX is still active and the vehicle DL4CAZ5807 is available to serve… https://t.co/TrI2BNF8LS"
175,"@rhtgpt11 Therefore, we have cancelled the booking ID JPSNCP0ZI and initiated a full refund back to your source acc… https://t.co/rPHZXHh4I2"
176,"@rhtgpt11 Hello Rohit, we deeply regret the inconvenience caused to you. We are here to help you with your concern.… https://t.co/Q2clXnGuzF"
177,"@Zoomcar_India The refund isn't fine, how will you compensate for intangible items such time, effort and the conven… https://t.co/MzzVzBJCtw"
178,"@Zoomcar_India If you see the car has been moved, your system is faulty. I saw it upon reaching at 10pm. Check the… https://t.co/pWstoI7L4r"
179,"@Zoomcar_India Hey, had a terrible experience with the host. Firstly the host has demanded 600 for cleaning the car… https://t.co/nTxPgqxc6g"
180,@Zoomcar_India i have booked car (JPSNCP03I) i10 from 28 may to 1 may but the owner of this car told us manisha jad… https://t.co/ZPgJdKfjwv
181,"@malakar_soham However, we see that you had cancelled your booking and our team has initiated a full refund back to… https://t.co/t8kDsvadxn"
182,@malakar_soham our system has given you the option to choose an alternate vehicle for your reservation.
183,"@malakar_soham Hi Soham, we deeply regret the inconvenience caused to you. We understand your dismay, but unfortuna… https://t.co/NHHMGdi3AO"
184,"@chndrjt Hello Rajat, we deeply regret the inconvenience caused to you. We are here to help you with your concern.… https://t.co/1FJTaBNXmB"
185,@Zoomcar_India Still nothing??
186,@Zoomcar_India I booked a car with booking no - JPSNCP8FL. keys were not available in the car. When I tried to call… https://t.co/nQllDomiuO
187,"Hi @Zoomcar_India,
I have sent you the booking details in the image. As you can see that I have already received th… https://t.co/YXHsEJY0XR"
188,@Zoomcar_India Thank you for your extended support in arranging a confirmed ride. https://t.co/kjifth4vka
189,"The car is still here, now it looks like the demand is absolutely fabricated, even the car owners say they didn't c… https://t.co/GdCi0symkq"
190,"@Zoomcar_India, the WORST service. Firstly, you cancel the booking 10 min before the booking time, while I'm arrivi… https://t.co/ReQfTieBxf"
191,@Zoomcar_India How much stories you tell ask your team to pay compensation for 15 lakhs atleast
192,Dear @Zoomcar_India I buked a car wid u &amp; wen i rchd 2 d location no car was der &amp; host didn’t attend d call. Ur cu… https://t.co/dNHABb1KEZ
193,@Zoomcar_India Thank you for cancelling my plan
194,"@Zoomcar_India Awaiting refund on 
1. Fuel refund on full tank while returning 
2. Repair charge"
195,@Zoomcar_India Here is the bill https://t.co/AcuOC2QOOi
196,@Zoomcar_India Sir no any issue in my car and started downtime by customer support very bad service no any call opt… https://t.co/z9JAMEsBbJ
197,Hey @Zoomcar_India Please provide your assistance as my journey is scheduled and cannot be postponed or rescheduled… https://t.co/fjzSPnV2E0
198,@vaibhavsgupta @Zoomcar_India @pankuryagrawal Please look into this matter urgently. @navingupta03
199,"@Zoomcar_India Hi Team,

Iam still waiting for my refunds"
200,@Zoomcar_India I booked a ride for tomorrow morning but the app is showing ride cancelled. Instead of a valid expla… https://t.co/PZ4yF9x0Ep
201,@Zoomcar_India what is this my car is ready for accet booking . https://t.co/QQHGNBCWFv
202,@Zoomcar_India  please improve your quality of app i am trying to Login In Zoomcar App but it's not Responding I am… https://t.co/ieWkqyojgZ
203,"@Zoomcar_India 

Hi Zoomcar

Need urgent help. My booking (JPSNCPZTC) got on hold as the car that I booked is now n… https://t.co/16ZERB4org"
204,"@Zoomcar_India waiting for profile verification since 4 days. No revert, and no contact number to connect.

Where is your customer service?"
205,@Zoomcar_India had a horrible experience. Car booked.  Filled fuel worth 3k. Ac didnt work. Owner asked to me bring… https://t.co/jXmDKQBS0c
206,@Zoomcar_India Abusive language on media is quite easy but that doesn't give a solution. Hope you will do what is n… https://t.co/4TOuTB40xo
207,@srikanthkandada We apologize for the inconvenience this has caused. Please give us some time to check and get back… https://t.co/1xAjnt19W9
208,@sumeetmohanty12 We have cancelled your booking and initiated a full refund back to your source account and the sam… https://t.co/EBkEjcKVwy
209,@Zoomcar_India I do not think anyone will have fuel bill after 2 weeks however all that is asked is fuel tank photo… https://t.co/LFCGGY71pt
210,"@Zoomcar_India @Zoomcar_India , your support lines aren't working and the chatbot isn't helping either. This is inc… https://t.co/dtERV5noS7"
211,"ZOOMCAR is The Worst Carsharing Platform that exists 
There have been numerous complaints and issues with the… https://t.co/SNzp9KHgQi"
212,"Hey @Zoomcar_India, need urgent help! Been trying to verify my account for hours but keep getting rejected. Profile… https://t.co/yE3z4WX5xx"
213,"@munkeyminnd Concerning the fuel refund, we request you to kindly share with us the refuelling bill for our validat… https://t.co/XepjMB5U8J"
214,"@munkeyminnd Hello Anirudha, upon checking we see that our team has processed the fasTag refund back to your source… https://t.co/iK92cPRspk"
215,@Zoomcar_India I need the full refund immediately.... Thank you for your poor service
216,@sumeetmohanty12 Please confirm if we can cancel the booking and initiate a full refund to your source account. We… https://t.co/BtbsLazv57
217,"@sumeetmohanty12 Hello Sumeet, we deeply regret that we were unable to encompass your reservation. We attempted to… https://t.co/oWw9O3f8fp"
218,@Zoomcar_India Do you have amy plan to start customer service number till I have withdrawn two cars from zoomcar platform
219,"@munkeyminnd Hello Anirudha, we deeply regret the inconvenience caused to you. We are here to help you with your co… https://t.co/7WQKSJlAy0"
220,"@pradeep47253535 Therefore, we request you to kindly elaborate on your concern in detail with your booking ID. We s… https://t.co/rjou8CV6Bp"
221,"@pradeep47253535 Our email team shall respond to your concern. However, in case your face any issues during your li… https://t.co/3oY8P3Nh9A"
222,"@pradeep47253535 we apologize for any inconvenience caused, we would like to bring to your notice that we do not ha… https://t.co/YtEWiqcbWH"
223,"@Zoomcar_India Okay
Please find the picture property. It was 16th april, 4:31 PM https://t.co/iNkMVPadKs"
224,@Zoomcar_India No Customer care number active for Host and email/chat support is only based on automated templates no resolution no support
225,"@harshu223 Hello Harsh, We need to know the time when the picture was taken."
226,@Zoomcar_India @Zoomcar_India what’s the status? I’m waiting since you replied
227,@Zoomcar_India Properties details mean?
228,"@harshu223 Hello Harsh, As requested please share the images with the properties details."
229,@Zoomcar_India I am unable to select a car while clicking on the arrow.... Please expedite
230,@Zoomcar_India There are no alternate vehicle... https://t.co/ItMtTi8tjg
231,"@Zoomcar_India Awaiting response, i booked the zoom car in an emergency and this is what your services are. Please… https://t.co/6kJpH0YHj5"
232,"@AdhauPurva Hello Purva, We apologize for the inconvenience. Since your reservation for April 30 has been confirmed… https://t.co/32Oi0jNt9Q"
233,"@AdhauPurva Hello Purva, We apologize for the inconvenience. Since your reservation for April 30 has been confirmed… https://t.co/Uzw3N8DN4m"
234,@sumeetmohanty12 We request you to kindly select the vehicle from our application as all the available vehicle deta… https://t.co/Dh0SM82VnF
235,"@sumeetmohanty12 Hello Sumeet, we've given you the option in the Zoomcar app to look for an alternate vehicle for your reservation."
236,"@AdhauPurva Hello Purva, We apologize for the inconvenience. Since your reservation for April 30 has been confirmed… https://t.co/yZfaw3t1Zi"
237,@Zoomcar_India I had used a car over the weekend with attached car. It’s been more than 2 weeks and the concerns ar… https://t.co/HqKQURwWPV
238,@Zoomcar_India Please give me an alternate car as I am unable to get and confirm in the app...
239,@Zoomcar_India The booking is for 5 pm and I am stranded
240,@Zoomcar_India My booking I'd is JPSNCP50K
241,@MdnAnkita We sincerely apologize for the inconvenience you have experienced. Rest assured that we have initiated t… https://t.co/z4HxIggRue
242,@Zoomcar_India @Zoomcar_India can you please fix this asap! Not expected from you
243,"@sumeetmohanty12 Hello Sumeet, we deeply regret the inconvenience caused to you. We are here to help you with your… https://t.co/AjiSfOq8d7"
244,@morang I  have cancelled a trip on 15th  april and haven't received any refund.  Your customer support team is not… https://t.co/ivch2q4Qgt
